Position,Posted,Problem,Method,Technical,Knowledge,Link
Machine Learning Engineer (Computer Vision Specialist)15-Feb-21,Build action recognition models to categorise activities.,"Set up a system that identifies objects (vehicles/pedestrains) from a live stream of videos, and categorise them. ","Convolutional Neural Networks, Tensor Flow, OpenCV, Pandas, and Python","LSTM, Genetic Algorithms",#
Back End Engineer,01-Aug-20,Work with the Computer Vision team to store data in a scalable manner.,Build scalable databases which help retrieve and analy data.,"Python, Database architecture, NodeJS","Mathematics (Matrixes and Vectors, Calculus)",#
