Name,Position,ImagePath,Description
Ashish Kashyap,Founder and CEO of INDmoney.com Founder & Director of Finzoom.,Ashish.jpg,Founder & X-CEO of ibibo (Goibibo & redBus) India's leading online travel group.
Rajesh Dembla,Founder of Bidzapp Founder of Zoozle and Founder of Pacific Gaming Pvt. Ltd.,Rajesh.jpg,Ravi Koulagi holds more than 22 years of telecommunication industry experience.
Ravi Koulagi,Global Director and CTO Global Public Sector Segment at Cisco.,Ravi.jpg,Ravi Koulagi holds more than 25 years of software and telecommunication industry experience.
Roben Dass,Founder Chairman & Managing Director - KOOCHIE GLOBAL,Robendas.jpeg,Founder Chairman & Managing Director at KoochieGlobal a multinational conglomerate that has 24 offices & 9 state of the art OEM production units across the world.
