Name,Position,ImagePath,Location
Ashish kashyap,Founder & CEO of IndWealth,Ashish.jpg,India
Rajesh Dembla,Founder & CEO of Zoozle,Rajesh.jpg,India
Roben Dass,Founder & CEO of Koochie Global,Robendas.jpeg
