Position,Posted,Problem,Method,Technical,Knowledge,Link
Backend Enginner,28-Apr-20,Design and develop a scalable system to allow the deployment of Smart Traffic Lights across the country.,"Set up the database from ground up, and build pipelines for data-streaming.","Python, NodeJS, and Kafka. ","Pandas, and Deep Neural Networks",#
Machine Learning Engineer (Computer Vision Sepcialist),28-Apr-20,Identify and categorise data on roads to allow smooth flow of traffic within cities.,"Set up a system that identifies objects (vehicles/pedestrains) from a live stream of videos, and categorise them. ","Convolutional Neural Networks, Tensor Flow, OpenCV, Pandas, and Python","LSTM, Genetic Algorithms",#
Machine Learning Engineer,28-Apr-20,Optimises traffic flows within cities.,Develop an algorithm which controls traffic lights based on available traffic data.,"Neural Networks, Reinforcement Learning, Long-Short Term Memory, Genetic Algorithms, Mathematics (Matrixes and Vectors, Calculus), Pandas",Python,#
